workload,conflict_ratio,committed,cpu_seconds,net_rx_bytes,net_tx_bytes,net_total_bytes,mem_mib_seconds,run_id,summary_path
baseline,0.9,1902,0.031842034174553106,45145.14195583596,39057.781282860145,84202.92323869611,2.5026510322700366,7e826f81-2012-40cf-bb37-aa8604b08a1d,/home/sxguo/vDesktop/geco/tools/abort-rate/results/7e826f81-2012-40cf-bb37-aa8604b08a1d.summary.json
fhe,0.9,1936,0.16213404700413225,2533509.146177686,2525929.3223140496,5059438.468491735,2.8325183747479414,b25edd2d-e3bb-4cca-9402-97c1f1930d38,/home/sxguo/vDesktop/geco/tools/abort-rate/results/b25edd2d-e3bb-4cca-9402-97c1f1930d38.summary.json
zeestar,0.9,1906,0.281102334207765,4865180.9144805875,4502488.772822665,9367669.687303253,46.54528310078185,d9cd2364-b4ae-4413-bd57-b48b554aec99,/home/sxguo/vDesktop/geco/tools/abort-rate/results/d9cd2364-b4ae-4413-bd57-b48b554aec99.summary.json
ctm_fhe,0.9,518,0.11658040347490348,1821207.3223938225,1815665.972972973,3636873.2953667957,1.0376165049169028,486d7f1c-a5b7-4646-9e8d-694e12923d02,/home/sxguo/vDesktop/geco/tools/abort-rate/results/486d7f1c-a5b7-4646-9e8d-694e12923d02.summary.json
