run_id,system,workload,scenario,conflict_ratio,concurrency,total_requests,attempts_total,attempts_committed,attempts_aborted,abort_rate_attempt,requests_total,requests_failed,abort_prob_request,retry_p50,retry_p90,retry_p99,retry_max
773b98d1-4759-4770-b3fc-fab5ab7d9172,HLF-local-windowed-ctm-unlimited,smallbank_transfer,hot_accounts,0.9,10,2000,357,64,293,0.8207282913165266,2000,0,0,1,22,39,39
8f1df8bd-0ae8-4e18-9b6c-c9a6e7593447,HLF-local-windowed-baseline,smallbank_transfer,hot_accounts,0.5,20,2000,4632,1917,2715,0.586139896373057,2000,83,0.0415,1,6,10,10
501c41a8-5a5e-4c8a-a3f5-419077990245,HLF-local-windowed-ctm,smallbank_transfer,hot_accounts,0.5,10,2000,1546,1264,282,0.18240620957309184,1264,0,0,1,2,4,10
b6ceff97-3c52-4ee8-b183-1548ff10e3aa,HLF-baseline-window50-noretry-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,2000,1881,119,0.0595,2000,119,0.0595,1,1,1,1
14981c15-2edc-4693-a617-25d0cec9c629,HLF-baseline-window50-noretry-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,2000,1141,859,0.4295,2000,859,0.4295,1,1,1,1
e8e4ae73-7a1d-47b1-a4e6-f5cdd6f416d0,HLF-baseline-window50-noretry-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,2000,522,1478,0.739,2000,1478,0.739,1,1,1,1
3276cff2-a2f9-4986-894b-7f0fc0795cfd,HLF-ctm-window50-noretry-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,1709,1684,25,0.014628437682855471,1709,25,0.014628437682855471,1,1,1,1
1588999c-8c69-4b86-ac62-178aa7ee4a68,HLF-ctm-window50-noretry-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,542,480,62,0.11439114391143912,542,62,0.11439114391143912,1,1,1,1
ea3675d7-414f-4891-94fb-b13d9b6bfb94,HLF-ctm-window50-noretry-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,64,25,39,0.609375,64,39,0.609375,1,1,1,1
d94e5900-1970-4628-a9f5-5e45a7cd289c,HLF-baseline-window50-noretry-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,2000,1882,118,0.059,2000,118,0.059,1,1,1,1
ec30bf15-e369-484c-adfd-07b2abed1cc9,HLF-baseline-window50-noretry-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,2000,1143,857,0.4285,2000,857,0.4285,1,1,1,1
a80a262b-a439-404d-a4a6-82a6bbe81b89,HLF-baseline-window50-noretry-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,2000,521,1479,0.7395,2000,1479,0.7395,1,1,1,1
d953185e-41b6-4fae-a400-6da8f5e34038,HLF-ctm-window50-noretry-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,1852,1732,120,0.06479481641468683,1852,120,0.06479481641468683,1,1,1,1
29b3c3d6-5796-41b5-8947-93fdd5f69fe0,HLF-ctm-window50-noretry-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,1264,1065,199,0.1574367088607595,1264,199,0.1574367088607595,1,1,1,1
931d9dd6-7bcf-4d45-b313-8760cf12b304,HLF-ctm-window50-noretry-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,503,279,224,0.44532803180914515,503,224,0.44532803180914515,1,1,1,1
4485d7ad-ce68-41fa-982f-42d10d807060,HLF-baseline-window50-noretry-amountvar-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,2000,1872,128,0.064,2000,128,0.064,1,1,1,1
d977915e-6024-499a-9c2a-d862dd4cb0c8,HLF-baseline-window50-noretry-amountvar-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,2000,1173,827,0.4135,2000,827,0.4135,1,1,1,1
d662e37e-148b-4b47-978b-a26ea43251ed,HLF-baseline-window50-noretry-amountvar-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,2000,513,1487,0.7435,2000,1487,0.7435,1,1,1,1
424ca1ec-e694-4907-abec-2a1cd37fcbc3,HLF-ctm-window50-noretry-amountvar-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,1998,1743,255,0.12762762762762764,1998,255,0.12762762762762764,1,1,1,1
deb1687d-dd8a-48ca-a27c-2807ae61583a,HLF-ctm-window50-noretry-amountvar-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,1857,1012,845,0.4550350026925148,1857,845,0.4550350026925148,1,1,1,1
d0f3a458-b8c7-455e-8e89-737c6c07039b,HLF-ctm-window50-noretry-amountvar-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,769,274,495,0.6436931079323797,769,495,0.6436931079323797,1,1,1,1
a97be4f6-9a2a-48b5-9ad4-4ecb73bc2303,HLF-ctm-window50-noretry-amountvar-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,1998,1756,242,0.12112112112112113,1998,242,0.12112112112112113,1,1,1,1
83e9d7f1-7df6-431b-929e-98d69db467c5,HLF-ctm-window50-noretry-amountvar-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,1857,1011,846,0.4555735056542811,1857,846,0.4555735056542811,1,1,1,1
38856ab4-c04d-4782-9332-a90b1a4add9d,HLF-ctm-window50-noretry-amountvar-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,769,295,474,0.6163849154746424,769,474,0.6163849154746424,1,1,1,1
4d6620ac-a46a-467f-9478-ce6090f7b0ce,HLF-baseline-window50-retry-amountvar-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,2170,2000,170,0.07834101382488479,2000,0,0,1,1,3,8
8809e519-a4b0-4253-a6fe-bf18e34e5837,HLF-baseline-window50-retry-amountvar-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,4472,1929,2543,0.568649373881932,2000,71,0.0355,1,6,10,10
2ba19446-649c-4728-8a98-0ace3a4707b2,HLF-baseline-window50-retry-amountvar-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,7572,1736,5836,0.7707342842049657,2000,264,0.132,2,10,10,10
b04e517c-9ae4-4c28-9da8-5390a316445a,HLF-ctm-window50-retry-amountvar-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,2287,1998,289,0.12636641888937472,1998,0,0,1,2,3,5
f636d2af-cc83-4e09-9a90-62c4dfd5ca7e,HLF-ctm-window50-retry-amountvar-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,3906,1899,2007,0.5138248847926268,1921,22,0.011452368558042686,1,4,10,10
