workload,conflict_ratio,committed,cpu_seconds,net_rx_bytes,net_tx_bytes,net_total_bytes,mem_avg_mib,mem_peak_mib,run_id,summary_path
baseline,0.1,2000,0.011809611000000001,17193.3515,14854.4565,32047.808,7530.810863140261,7594.14453125,c1f297a1-dfef-457b-aa2f-d73a05679476,/home/sxguo/vDesktop/geco/tools/abort-rate/results/c1f297a1-dfef-457b-aa2f-d73a05679476.summary.json
baseline,0.5,1983,0.019341420574886536,27860.65607665154,24110.758951084215,51971.415027735755,7495.304302878607,7539.5546875,a6536544-e4dc-4fa1-97ee-ca64dd343b38,/home/sxguo/vDesktop/geco/tools/abort-rate/results/a6536544-e4dc-4fa1-97ee-ca64dd343b38.summary.json
baseline,0.9,1917,0.031453494001043296,45229.35732916015,39142.52373500261,84371.88106416276,7518.740868951527,7544.9140625,4723a97e-1248-45ff-82eb-d647b712a3ed,/home/sxguo/vDesktop/geco/tools/abort-rate/results/4723a97e-1248-45ff-82eb-d647b712a3ed.summary.json
